distance_km;altitude_m;altitude_moyenne_5;d_plus;d_moins
71,7;20;17,6;2;0
71,8;16;17,2;0;4
71,9;13;16;0;3
72;19;16;6;0
72,1;12;15,2;0;7
72,2;20;16,2;8;0
72,3;12;15;0;8
72,4;18;16,4;6;0
72,5;13;14,4;0;5
72,6;19;16,6;6;0
72,7;10;18,4;0;9
72,8;23;21,8;13;0
72,9;27;24,6;4;0
73;30;29,2;3;0
73,1;33;30,6;3;0
73,2;33;29,4;0;0
73,3;30;25,2;0;3
73,4;21;22,8;0;9
73,5;9;20,6;0;12
73,6;21;19,2;12;0
73,7;22;19,4;1;0
73,8;23;21,8;1;0
73,9;22;21;0;1
74;21;21,2;0;1
74,1;17;22;0;4
74,2;23;20,2;6;0
74,3;27;19,4;4;0
74,4;13;21;0;14
74,5;17;22,4;4;0
74,6;25;22,4;8;0
74,7;30;21,4;5;0
74,8;27;18,4;0;3
74,9;8;14,6;0;19
75;2;10,75;0;6
75,1;6;5,333333333;4;0
